water_point_id,name,stratum,commune,fokontany,village,lat,lon,households_served,status
WP-FD-001,Pompe Ambato 1,FD,Ampasy-Nahampoana,Ampasy Atsinanana,Ankazo,-25.1143,46.92895,27,active
WP-FD-002,Pompe Maromena 2,FD,Ampasy-Nahampoana,Ampasy Atsinanana,Maromena,-25.07228,46.89074,35,active
WP-FD-003,Pompe Ankilimalinika 3,FD,Ampasy-Nahampoana,Ampasy Ambony,Ankazo,-25.09968,46.93764,48,active
WP-FD-004,Pompe Tsihanaka 4,FD,Ampasy-Nahampoana,Ampasy Andrefana,Tsihanaka,-25.10151,46.94209,46,active
WP-FD-005,Pompe Maromena 5,FD,Ampasy-Nahampoana,Ampasy Ambony,Tsihanaka,-25.13022,46.94327,41,active
WP-FD-006,Pompe Maromena 1,FD,Mandromodromotra,Mandromodromotra Ambany,Ankazo,-24.97648,46.91617,17,active
WP-FD-007,Pompe Ankazo 2,FD,Mandromodromotra,Mandromodromotra Ambony,Andranomena,-24.96948,46.94024,39,inactive
WP-FD-008,Pompe Beraketa 3,FD,Mandromodromotra,Mandromodromotra Atsinanana,Ankazo,-25.02458,46.9288,53,active
WP-FD-009,Pompe Beraketa 4,FD,Mandromodromotra,Mandromodromotra Andrefana,Tsihanaka,-25.00109,46.92558,44,active
WP-FD-010,Pompe Tsihanaka 5,FD,Mandromodromotra,Mandromodromotra Andrefana,Tsihanaka,-24.99216,46.92252,46,active
WP-FD-011,Pompe Tsihanaka 1,FD,Soanierana,Soanierana Ambony,Andranomena,-25.06871,47.05013,43,active
WP-FD-012,Pompe Andranomena 2,FD,Soanierana,Soanierana Andrefana,Ankazo,-25.05761,47.05062,51,active
WP-FD-013,Pompe Ambato 3,FD,Soanierana,Soanierana Ambany,Maromena,-25.06984,47.04219,52,active
WP-FD-014,Pompe Tsihanaka 4,FD,Soanierana,Soanierana Ambony,Ampanihy,-25.03682,47.03006,35,active
WP-FD-015,Pompe Tsihanaka 5,FD,Soanierana,Soanierana Afovoany,Maromena,-25.05215,47.05744,60,active
WP-FD-016,Pompe Maromena 1,FD,Ranopiso,Ranopiso Andrefana,Ampanihy,-25.00665,47.03688,21,active
WP-FD-017,Pompe Beraketa 2,FD,Ranopiso,Ranopiso Atsinanana,Maromena,-24.9732,47.07315,59,active
WP-FD-018,Pompe Andranomena 3,FD,Ranopiso,Ranopiso Ambany,Ankazo,-25.02989,47.04592,28,active
WP-FD-019,Pompe Ankilimalinika 4,FD,Ranopiso,Ranopiso Afovoany,Andranomena,-25.01691,47.05088,14,inactive
WP-FD-020,Pompe Tsihanaka 5,FD,Ranopiso,Ranopiso Atsinanana,Tsihanaka,-24.97766,47.08913,23,active
WP-MA-021,Pompe Tsihanaka 1,MA,Manantenina,Manantenina Andrefana,Maromena,-24.27638,47.2109,14,active
WP-MA-022,Pompe Andranomena 2,MA,Manantenina,Manantenina Andrefana,Ankazo,-24.29346,47.23317,31,active
WP-MA-023,Pompe Maromena 3,MA,Manantenina,Manantenina Atsinanana,Beraketa,-24.30918,47.25582,36,active
WP-MA-024,Pompe Maromena 4,MA,Manantenina,Manantenina Andrefana,Ankazo,-24.27216,47.24367,12,active
WP-MA-025,Pompe Ambato 5,MA,Manantenina,Manantenina Ambany,Maromena,-24.31573,47.21661,13,active
WP-MA-026,Pompe Ankilimalinika 1,MA,Ampasimena,Ampasimena Ambony,Tsihanaka,-24.25282,47.25674,29,active
WP-MA-027,Pompe Ankilimalinika 2,MA,Ampasimena,Ampasimena Afovoany,Ambato,-24.22315,47.3124,34,active
WP-MA-028,Pompe Maromena 3,MA,Ampasimena,Ampasimena Andrefana,Ankazo,-24.27933,47.28038,32,active
WP-MA-029,Pompe Tsihanaka 4,MA,Ampasimena,Ampasimena Ambony,Ambato,-24.2434,47.31524,36,active
WP-MA-030,Pompe Beraketa 5,MA,Ampasimena,Ampasimena Andrefana,Ambato,-24.25551,47.27176,51,active
WP-MA-031,Pompe Ampanihy 1,MA,Antsotso,Antsotso Andrefana,Ambato,-24.33187,47.3871,47,active
WP-MA-032,Pompe Ampanihy 2,MA,Antsotso,Antsotso Ambany,Tsihanaka,-24.35179,47.34121,54,active
WP-MA-033,Pompe Tsihanaka 3,MA,Antsotso,Antsotso Ambony,Ankilimalinika,-24.35841,47.3552,37,inactive
WP-MA-034,Pompe Tsihanaka 4,MA,Antsotso,Antsotso Ambony,Andranomena,-24.35763,47.36329,14,active
WP-MA-035,Pompe Ambato 5,MA,Antsotso,Antsotso Atsinanana,Maromena,-24.32461,47.35932,49,active
WP-MA-036,Pompe Andranomena 1,MA,Sandravinany,Sandravinany Ambony,Andranomena,-24.2749,47.36227,54,active
WP-MA-037,Pompe Ambato 2,MA,Sandravinany,Sandravinany Ambony,Beraketa,-24.26567,47.36659,26,active
WP-MA-038,Pompe Andranomena 3,MA,Sandravinany,Sandravinany Afovoany,Ambato,-24.25411,47.42222,43,active
